Cytoplasmicvesicle,secretoryvesicle,neuronaldensecorevesicle	1
Mitochondrionmembrane;Single-passtypeImembraneprotein	1
Presynapticcellmembrane;Single-passtypeImembraneprotein	4
Golgiapparatus,cis-Golginetworkmembrane;Peripheralmembraneprotein;Lumenalside	1
Mitochondrionoutermembrane;Peripheralmembraneprotein	1
Endomembranesystem;Single-passtypeImembraneprotein	1
Cellprojection,lamellipodiummembrane;Single-passtypeImembraneprotein	1
Cellprojection,rufflemembrane;Single-passtypeImembraneprotein	1
Basolateralcellmembrane	1
Cellprojection,invadopodium	1
Endosomelumen	1
Cellmembrane,sarcolemma;Single-passtypeImembraneprotein	1
Membrane,caveola	1
Cellmembrane,sarcolemma,T-tubule	1
Golgiapparatus,cis-Golginetworkmembrane;Single-passtypeImembraneprotein	4
Nucleus,nuclearporecomplex	1
Extracellularvesiclemembrane;Lipid-anchor,GPI-anchor	1
Mitochondrionmembrane;Lipid-anchor,GPI-anchor	1
Virion	1
Nucleusmembrane	1
Cytoplasmicvesicle,secretoryvesiclemembrane;Single-passtypeImembraneprotein	2
Endoplasmicreticulummembrane;Multi-passmembraneprotein	2
Cellprojection,lamellipodiummembrane;Multi-passmembraneprotein	1
Membraneraft;Multi-passmembraneprotein	1
Golgiapparatusmembrane	1
Lateendosomemembrane;Multi-passmembraneprotein	1
Membrane;Multi-passmembraneprotein;Lumenalside	2
Golgiapparatusmembrane;Multi-passmembraneprotein	1
Endosomemembrane;Multi-passmembraneprotein	1
Endoplasmicreticulummembrane;Multi-passmembraneprotein;Lumenalside	1
Cytoplasmicvesicle,secretoryvesicle,micronememembrane;Multi-passmembraneprotein	1
Zymogengranulemembrane;Peripheralmembraneprotein;Lumenalside	1
Microsomemembrane;Lipid-anchor,GPI-anchor	1
Cytoplasm,cytoskeleton	2
Cytoplasmicvesicle,phagosomemembrane;Single-passtypeImembraneprotein	1
Cellprojection,ruffle	1
Endoplasmicreticulum-Golgiintermediatecompartmentmembrane;Single-passtypeImembraneprotein	3
Lysosomemembrane;Single-passmembraneprotein	1
Earlyendosomemembrane;Single-passmembraneprotein	1
Cytoplasmicvesicle,secretoryvesicle,synapticvesicle	1
Microsomemembrane;Single-passtypeImembraneprotein	1
Microsomemembrane;Single-passmembraneprotein	1
Cellprojection,invadopodiummembrane	1
Parasitophorousvacuole	1
Zonapellucida	1
